id,النبات,المرض,الأعراض,السبب,المنشأ,العلاج,Code
Alstonia Scholaris___Galls,,,,,,,
Apple___Apple_scab,التفاح,جَرَب التفاح,"•بقع صفراء على الأوراق.
•بُقَعْ لونُها أخضر زيتوني داكن على الأوراق والثمرة.
•قد يحدث نمو مخملي على البُقَعِ الموجودةِ على الجانب السفلي من الأوراق.
•اِلتواء الأوراق.
•تَشَوُّه الأوراق.
تَتَحَوَّلُ الأوراقُ المُصَابة بشدة إلى اللون الأصفر وتسقط من الأشجار.",فِطْر ال Venturia inaequalis,"•تقضي فطريات الشتاء على أوراق الشجر الميتة على الأرض.
•تَشَتُّت الجراثيم بواسطة الرياح.
•الرطوبة العالية المُحَفِّزة لنُمُوّ الفطريات.","•قُم بإزالة جميع الأوراق المتساقطة من الأشجار في الخريف والسِمَاد لمنع أي أمراض من التفَشّي في الحطام.
•قد يكون ضرورِياً إضافة اليوريا من فئة الزنك والأسمدة في الخريف لتسريع سقوط الأوراق ، ثم إضافة الجير إلى الأوراق المتساقطة.
•قد يكون استخدامُ مبيدات الفطريات ضرورِيًا للمناطق التي تظل فيها الأوراق رطبة لمدة تزيد عن 9 ساعات.
•يجب استخدامُ مبيدات الفطريات مثل الصابون النحاسي وخليط بوردو إذا كانت هناك فرصة لحدوث فترة رطبة بمجرد ظهور أطراف الأوراق.",
Apple___Black_rot,التفاح,العَفَن الأسود,"• بُقَع أُرْجُوانيّة أو آفات دائرية بنية اللون في المنتصف و أُرْجُوانيّة على الهامِش.
• بُقَع حمراء مع آفات أُرْجُوانيّة أو حلقات بنية-سوداء على الثمرة أو كلاهما.",فِطْر Botryosphaeria obtusa,يمكن للجراثيم أن تقضي على الأغصان أو الثمار المتبقية على الشجرة وتنتشر أثناء هطول الأمطار.,"•قُم بإزالة الأخشاب المَيِّتَة و الفاكهة المُحَنَّطة والتَقرُّحات من الأشجار للحدْ من انتشار المرض.
•حرق آثار تقليم الشجرة.
•يمكن السيطرة على المرض عن طريق استخدام مُبيدات الفِطْريات على الأطراف الفِضّيّة من أجل الحصاد.",
Apple___Cedar_apple_rust,التفاح,صدأ التفاح,"•بُقَع بُرْتُقاليّة أو صفراء زاهية على الجانب العُلْويّ من الأوراق مُحاطة بشريط أحمر و بُقَع سوداء صغيرة في المنتصف.
•بحلول منتصف الصيف ، تَتَشَكَّلُ هياكِل تُشْبِه الكوب تُسَمَّى الaecia على الجوانب السفلية للورقة ؛ يتم تغطيتها في الهياكل الأنبوبية التي يتم إطلاق الجراثيم منها.",فِطْر Gymnosporangium juniperi virginianae,"يحتاج الفطر إلى مضيفين لإكمال دورة حياته.
يشكل نتوءًا على الأرز الأحمر الشرقي.
تحمل أبواغ الفطر عبر الهواء من الأرز الأحمر الشرقي إلى التفاح.
من المهم توخي الحذر عند زراعة أشجار التفاح بالقرب من الأرز الأحمر الشرقي.","• زراعة أصناف مقاومة للأمراض حيثما أمكن.
• إزالة الأَرْز الأحمر القريب.
• إذا زَرَعْت أصنافاً حساسةً بالقربِ مِنَ الأَرْز الأحمر ، فاتَّبِع برنامجَ مُبيدات الفطريات.",
Arjun___Leaf Curl,,,,,,,
Bael___leaf spot,,,,,,,
Cherry_(including_sour)___Powdery_mildew,الكَرَز,البياض الدقيقي,"•	تظهر بقع دائرية ذات لون فاتح على الأوراق داخل غطاء الشجرة تتحول لتشبه البودرة
•	قد تتلاقى البقع لتغطي الورقة بالكامل.
•	إذا كانت العدوى شديدة ، فقد تتشوه الأوراق ويمكن أن تتقزم الأغصان المصابة وتتوقف عن النمو.
•	قد تحتوي الثمار المصابة على مناطق مغمورة بسطح مستوية تحتوي على هيفيات فطرية (هياكل فطرية خيطية).",فِطْر Podosphaera clandestina,تزداد احتمالية إصابة الثمرة عند هطول الأمطار عند الاقتراب من الحصاد.,تعتمد مسألة القضاء على العفن الرمادي في الكرز على استخدام المبيدات الفطرية المناسبة والممارسات الزراعية التي تشجع على التهوية المناسبة حول غطاء الأشجار لتقليل الرطوبة.,
Chinar ___Black_rot,,,,,,,
coffee___Rust,البن,صدأ البن,,,"لا يؤثر مرض صدأ البن على نباتات الأرز، بل يؤثر على نباتات البن. ومع ذلك، للإجابة على سؤالك، يبدأ مرض صدأ البن عندما تتلامس بذور مسبب الفطريات هيميليا فاستاتريكس مع نبات البن. يمكن أن تنتشر البذور عن طريق الرياح أو المطر، أو يمكن أن تكون موجودة في بقايا النباتات المصابة أو التربة المصابة. بمجرد أن تهبط البذور على نبات البن، تتكاثر وتخترق أنسجة الأوراق، حيث تشكل بقعاً بيضاء صفراء على السطح العلوي للأوراق.",,
coffee___red_spider_mite,البن,سوس العنكبوت الأحمر,,العنكبوت الأحمر,"تبدأ الإصابة بالمرض عند تلامس الحشرات الصغيرة المسماة Tetranychus urticae مع نبات البن. تتغذى هذه العناكب على الجانب السفلي من أوراق نبات البن، مما يتسبب في تلف أنسجة النبات. يمكن أن يؤدي نشاط العناكب في الأكل إلى تطوير بقع صغيرة بيضاء أو صفراء على الأوراق. كما يمكن أن تتسبب العناكب في ظهور شبكات عنكبوتية على الأوراق والسيقان لنبات البن.",,
Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,الذرة,تَبَقُع الأوراق الرمادي,تظهرُ بقعٌ نخريةٌ صغيرةٌ (بنيةٌ أو سمراءٌ)عادَةً قبل الإزهار و قد يكون لها هالةٌ صفراءٌ على الأوراقِ السفليةِ.,فطرْ Cercospora zeae-maydis,"يبقى المرض حيًا في بقايا النباتات في التربة لفترات طويلة من الوقت.
يتم نقل البذور على الأوراق السفلى عن طريق رذاذ المطر والرياح خلال فصل الربيع.
يتم تفضيل دورة حياته عند درجات حرارة مرتفعة (25 إلى 30 درجة مئوية)، ورطوبة عالية (ندى، ضباب)، ورطوبة الأوراق لفترات طويلة من الوقت.
يعيق الطقس الحار والجاف تطوره.
تختلف الأعراض قليلاً بين مختلف أصناف النباتات.
يكمل الفطر دورته الحياتية (من العدوى إلى إنتاج بذور جديدة) في 14-21 يومًا في الأصناف الحساسة وفي 21-28 يومًا في الأصناف المقاومة.","• يجب النظر دائمًا في نهج متكامل باستخدام التدابير الوقائية والعلاجات الحيوية إذا كانت متاحة.
• يعد علاج المبيدات الفطرية الورقية وسيلة للتحكم في المرض إذا ظهر في مراحله المبكرة ، ولكن يجب مراعاة ظروف الطقس وفقدان الإنتاج المحتمل وحساسية النبات.
• تعمل المبيدات الفطرية التي تحتوي على بيراكلوستروبين وستروبيلورين، أو مزيج من أزوكسيستروبين وبروبيكونازول وبروثيوكونازول وتريفلوكستروبين بشكل جيد للسيطرة على الفطريات. ",
