id,Plants,Diseases,Content,overview,code
Alstonia Scholaris___Galls,الستينيا سكولاريس,عفصة,"## نظرة عامة
 هو نمو غير طبيعي للأنسجة النباتية مصاحباً لأورام ، مماثلة للأورام الحميدة أو الثآليل في الحيوانات. يمكن أن تسبب هذه الأورام الطفيليات المختلفة ، بدءًا من الفيروسات والفطريات والبكتيريا ، وصولًا إلى النباتات الأخرى والحشرات والعث.
## الأعراض 
 تتفاوت أعراض المرض اعتمادًا على الطفيلي المسبب للمرض. ومع ذلك ، تشمل بعض الأعراض الشائعة ما يلي:
 * نمو غير طبيعي أو تورمات على الأوراق والسيقان و / أو الجذور للنبات.
* تغير لون المناطق المصابة ، والتي قد تتحول إلى اللون الأصفر أو البني أو الأسود.
* نمو ملتوٍ أو مشوه للسيقان أو الأوراق
* نمو متقطع أو تقليل في نمو النبات
* تساقط الأوراق المبكر أو الإفراط في تساقط الأوراق.
* انحسار الأغصان أو الفروع
* تكوين أورام خشبية صلبة على النبات ، والتي قد تحتوي على الطفيلي المسبب للمرض.

## السبب 
 طفيليات وحشرات وعث مختلفة
## العلاج 
 * اختيار السلالات المقاومة إذا كان ذلك ممكنًا وشراء النباتات من مشتل موثوق.
 * عدم شراء النباتات التي تظهر عليها علامات تورم أو إنتفاخ.
 * عند العناية بالنباتات الحساسة ، تجنب الإصابة أو الجروح التي قد تتلامس مع التربة.
 * استخدام واقي للشجرة لحمايتها من الأدوات الزراعية الحادة والنظيفة.
 * توفير حماية الشتاء باستخدام قماش بولاب الطبيعي حتى لا يتشقق اللحاء.
 * في العديد من الحالات ، يمكن إزالة الأورام القائمة بواسطة سكين قص حاد. يتم تدمير الأنسجة النباتية المصابة وعلاج الجرح بمانع الجروح. إذا لم يتعاف النبات ، يتم إزالته وتدميره.

",هو نمو غير طبيعي للأنسجة النباتية مصاحباً لأورام.,rady
Apple___Apple_scab,التفاح,جَرَب التفاح,"## نظرة عامة 
 * تقضي فطريات الشتاء على أوراق الشجر الميتة على الأرض.
* تَشَتُّت الجراثيم بواسطة الرياح.
* الرطوبة العالية المُحَفِّزة لنُمُوّ الفطريات. 
## الأعراض 
 * بقع صفراء على الأوراق.
* بُقَعْ لونُها أخضر زيتوني داكن على الأوراق والثمرة.
* قد يحدث نمو مخملي على البُقَعِ الموجودةِ على الجانب السفلي من الأوراق.
* اِلتواء الأوراق.
* تَشَوُّه الأوراق.
تَتَحَوَّلُ الأوراقُ المُصَابة بشدة إلى اللون الأصفر وتسقط من الأشجار. 
## السبب 
 فِطْر ال Venturia inaequalis
## العلاج 
 * قُم بإزالة جميع الأوراق المتساقطة من الأشجار في الخريف والسِمَاد لمنع أي أمراض من التفَشّي في الحطام.
* قد يكون ضرورِياً إضافة اليوريا من فئة الزنك والأسمدة في الخريف لتسريع سقوط الأوراق ، ثم إضافة الجير إلى الأوراق المتساقطة.
* قد يكون استخدامُ مبيدات الفطريات ضرورِيًا للمناطق التي تظل فيها الأوراق رطبة لمدة تزيد عن 9 ساعات.
* يجب استخدامُ مبيدات الفطريات مثل الصابون النحاسي وخليط بوردو إذا كانت هناك فرصة لحدوث فترة رطبة بمجرد ظهور أطراف الأوراق. 
","* تقضي فطريات الشتاء على أوراق الشجر الميتة على الأرض.
* تَشَتُّت الجراثيم بواسطة الرياح.
* الرطوبة العالية المُحَفِّزة لنُمُوّ الفطريات.",rady
Apple___Black_rot,التفاح,العَفَن الأسود,"## نظرة عامة 
 يمكن للجراثيم أن تقضي على الأغصان أو الثمار المتبقية على الشجرة وتنتشر أثناء هطول الأمطار. 
## الأعراض 
 *  بُقَع أُرْجُوانيّة أو آفات دائرية بنية اللون في المنتصف و أُرْجُوانيّة على الهامِش.
*  بُقَع حمراء مع آفات أُرْجُوانيّة أو حلقات بنية-سوداء على الثمرة أو كلاهما. 
## السبب 
 فِطْر Botryosphaeria obtusa 
## العلاج 
 * قُم بإزالة الأخشاب المَيِّتَة و الفاكهة المُحَنَّطة والتَقرُّحات من الأشجار للحدْ من انتشار المرض.
* حرق آثار تقليم الشجرة.
* يمكن السيطرة على المرض عن طريق استخدام مُبيدات الفِطْريات على الأطراف الفِضّيّة من أجل الحصاد. 
",يمكن للجراثيم أن تقضي على الأغصان أو الثمار المتبقية على الشجرة وتنتشر أثناء هطول الأمطار.,rady
Apple___Cedar_apple_rust,التفاح,صدأ التفاح,"## نظرة عامة 
 يحتاج الفطر إلى مضيفين لإكمال دورة حياته.
يشكل نتوءًا على الأرز الأحمر الشرقي.
تحمل أبواغ الفطر عبر الهواء من الأرز الأحمر الشرقي إلى التفاح.
من المهم توخي الحذر عند زراعة أشجار التفاح بالقرب من الأرز الأحمر الشرقي. 
## الأعراض 
 * بُقَع بُرْتُقاليّة أو صفراء زاهية على الجانب العُلْويّ من الأوراق مُحاطة بشريط أحمر و بُقَع سوداء صغيرة في المنتصف.
* بحلول منتصف الصيف ، تَتَشَكَّلُ هياكِل تُشْبِه الكوب تُسَمَّى الaecia على الجوانب السفلية للورقة ؛ يتم تغطيتها في الهياكل الأنبوبية التي يتم إطلاق الجراثيم منها. 
## السبب 
 فِطْر Gymnosporangium juniperi virginianae 
## العلاج 
 *  زراعة أصناف مقاومة للأمراض حيثما أمكن.
*  إزالة الأَرْز الأحمر القريب.
*  إذا زَرَعْت أصنافاً حساسةً بالقربِ مِنَ الأَرْز الأحمر ، فاتَّبِع برنامجَ مُبيدات الفطريات. 
","يحتاج الفطر إلى مضيفين لإكمال دورة حياته.
يشكل نتوءًا على الأرز الأحمر الشرقي.",rady
Arjun___Leaf Curl,العرجون,تجعد الورقة,"## نظرة عامة
 مرض تجعد الأوراق في نبات الأرجون هو مرض فيروسي يؤثر على أوراق شجرة الأرجون (Terminalia arjuna). يتم نقل المرض بواسطة ذبابة الريشة البيضاء (Bemisia tabaci) بطريقة مستمرة.
## الأعراض 
 *  تجعد وتكشر الأوراق، والتي قد تصبح سميكة وتمتلك نسيجًا جلديًا.
 * قد تظهر الأوراق بقعًا صفراء أو بيضاء على السطح العلوي للأوراق.
 * قد تصبح الأوراق مشوهة ومتقزمة، مما يؤثر على نمو النبات في الحالات الشديدة.
## السبب 
 فيروس بيجومو
## العلاج 
 *	يمكن استخدام المبيدات الحشرية للسيطرة على ذبابة الريشة البيضاء، التي تعتبر ناقلة للفيروس. ومع ذلك، من المهم استخدام هذه المواد الكيميائية بحكمة وبطريقة تقلل من الأضرار على البيئة.
 *	يمكن أيضًا القيام بممارسات زراعية، مثل إزالة الأوراق المصابة وتدميرها، المساعدة في تقليل انتشار المرض.
 *	يوصى أيضًا بزرع أصناف مقاومة من شجرة الأرجون كحل طويل الأمد لمنع المرض

",مرض تجعد الأوراق في نبات الأرجون هو مرض فيروسي يؤثر على أوراق شجرة الأرجون (Terminalia arjuna). ,rady
Bael___leaf spot,قثاء هندي,تبقع الأوراق,"## نظرة عامة
 هو مرض فطري يؤثر على أوراق شجرة القثاء الهندي (Aegle marmelos).
## الأعراض 
 *	تشمل أعراض مرض تبقع الأوراق ظهور بقع صغيرة دائرية أو غير منتظمة على الأوراق. يمكن أن تكون هذه البقع باللون البني أو الأسود، مع وجود هالة صفراء حولها.
 *	مع تطور المرض، قد تدمج البقع مع بعضها البعض وتسبب تحول الأوراق إلى اللون الأصفر وذبولها، وفي النهاية تساقطها.

## السبب 
 فِطريات مثل Alternaria و Phyllosticta
## العلاج 
 يمكن استخدام المبيدات الفطرية للسيطرة على انتشار الفطر. ومن المهم استخدام هذه المواد الكيميائية بحكمة وبطريقة تقلل من الأضرار على البيئة.
 يمكن أيضًا للممارسات الزراعية، مثل تنظيف أدوات الحديقة وتجنب تزاحم النباتات، المساعدة في منع انتشار المرض.
 يوصى أيضًا بزرع أصناف مقاومة من شجرة البيل كحل طويل الأمد لمنع المرض.
",هو مرض فطري يؤثر على أوراق شجرة القثاء الهندي (Aegle marmelos).,rady
Cherry_(including_sour)___Powdery_mildew,الكَرَز,البياض الدقيقي,"## نظرة عامة 
 تزداد احتمالية إصابة الثمرة عند هطول الأمطار عند الاقتراب من الحصاد. 
## الأعراض 
 * 	تظهر بقع دائرية ذات لون فاتح على الأوراق داخل غطاء الشجرة تتحول لتشبه البودرة
* 	قد تتلاقى البقع لتغطي الورقة بالكامل.
* 	إذا كانت العدوى شديدة ، فقد تتشوه الأوراق ويمكن أن تتقزم الأغصان المصابة وتتوقف عن النمو.
* 	قد تحتوي الثمار المصابة على مناطق مغمورة بسطح مستوية تحتوي على هيفيات فطرية (هياكل فطرية خيطية). 
## السبب 
 فِطْر Podosphaera clandestina 
## العلاج 
 تعتمد مسألة القضاء على العفن الرمادي في الكرز على استخدام المبيدات الفطرية المناسبة والممارسات الزراعية التي تشجع على التهوية المناسبة حول غطاء الأشجار لتقليل الرطوبة. 
",تزداد احتمالية إصابة الثمرة عند هطول الأمطار عند الاقتراب من الحصاد.,rady
Chinar ___Black_rot,دلب مشرقي,العَفَن الأسود,"## نظرة عامة
  يمكن للجراثيم أن تقضي على الأغصان أو الثمار المتبقية على الشجرة وتنتشر أثناء هطول الأمطار.
## الأعراض 
 * وجود بقع سوداء أو بنية داكنة على الأوراق التي قد تنتشر وتتحد معًا، مما يتسبب في ذبول الأوراق وموتها.
 * يصبح لحاء الشجرة متشققًا وداكنًا، مع ظهور قرح منخفضة تفرز سائلاً لزجًا.
 * قد تتشوه فروع الشجرة وتموت.
 * يمكن أن تظهر الشجرة علامات على نمو متعثر وضعف شامل.
## السبب 
  فِطْر Botryosphaeria obtusa
## العلاج
 * قُم بإزالة الأخشاب المَيِّتَة و الفاكهة المُحَنَّطة والتَقرُّحات من الأشجار للحدْ من انتشار المرض.
* حرق آثار تقليم الشجرة.
* يمكن السيطرة على المرض عن طريق استخدام مُبيدات الفِطْريات على الأطراف الفِضّيّة من أجل الحصاد.
", يمكن للجراثيم أن تقضي على الأغصان أو الثمار المتبقية على الشجرة وتنتشر أثناء هطول الأمطار. ,rady
coffee___Rust,البن,صدأ البن,"## نظرة عامة 
 لا يؤثر مرض صدأ البن على نباتات الأرز، بل يؤثر على نباتات البن. ومع ذلك، للإجابة على سؤالك، يبدأ مرض صدأ البن عندما تتلامس بذور مسبب الفطريات هيميليا فاستاتريكس مع نبات البن. يمكن أن تنتشر البذور عن طريق الرياح أو المطر، أو يمكن أن تكون موجودة في بقايا النباتات المصابة أو التربة المصابة. بمجرد أن تهبط البذور على نبات البن، تتكاثر وتخترق أنسجة الأوراق، حيث تشكل بقعاً بيضاء صفراء على السطح العلوي للأوراق. 
## الأعراض 
  *	 ظهور بقع مسحوقية صفراء - برتقالية على السطح العلوي للأوراق.
  *	تساقط مبكر للأوراق.
  *	تساقط الأوراق، مما يؤدي إلى تقليل النمو والإنتاج.
  *	فروع رفيعة ومتراقصة بسبب تقليل عملية البناء الضوئي.
  *	تقليل جودة حبوب القهوة بسبب تقليل النمو والإنتاج
## السبب 
 Hemileia vastatrix
## العلاج 
 يمكن مكافحة صدأ القهوة جزئياً من خلال تطبيق رذاذ المبيدات الفطرية في الوقت المناسب خلال المواسم الرطبة. تم نقل المزارع في بعض المناطق إلى ارتفاعات أعلى وأكثر برودة، 1800-2100 متر (6000-7000 قدم)، حيث يصعب على فطر الصدأ التكاثر، على الرغم من التوقعات بأن الاحتباس الحراري سيزيد من انتشار المرض في هذه المناطق. هناك دليل على أن القهوة المزروعة تحت الظل، والتي لا تزرع كأنواع وحيدة، أقل عرضة للإصابة، حيث تبطئ ممارسة الزراعة المختلطة بين الأشجار انتشار المرض. وبالإضافة إلى ذلك، تم تطوير أصناف مقاومة من قهوة الروبوستا (Coffea canefora)، ولكن يعتبر البن أقل جودة بشكل عام مقارنة بالنباتات الضعيفة من العربيكا (C. arabica). وكانت أحد الأصناف المقاومة، ليمبيرا، مزروعة على نطاق واسع في هندوراس ولكن فقدت مقاومتها للمرض في عام 2017، مما أدى إلى خسائر في المحاصيل في تلك البلد. ولم يتبين حتى الآن أن أي أصناف مقاومة تكون متينة ضد جميع سلالات الفطر.
", يبدأ مرض صدأ البن عندما تتلامس بذور مسبب الفطريات هيميليا فاستاتريكس مع نبات البن,rady
coffee___red_spider_mite,البن,سوس العنكبوت الأحمر,"## نظرة عامة 
 تبدأ الإصابة بالمرض عند تلامس الحشرات الصغيرة المسماة Tetranychus urticae مع نبات البن. تتغذى هذه العناكب على الجانب السفلي من أوراق نبات البن، مما يتسبب في تلف أنسجة النبات. يمكن أن يؤدي نشاط العناكب في الأكل إلى تطوير بقع صغيرة بيضاء أو صفراء على الأوراق. كما يمكن أن تتسبب العناكب في ظهور شبكات عنكبوتية على الأوراق والسيقان لنبات البن. 
## الأعراض 
 nan 
## السبب 
 العنكبوت الأحمر 
## العلاج 
 nan 
",تبدأ الإصابة بالمرض عند تلامس الحشرات الصغيرة المسماة Tetranychus urticae مع نبات البن.,rady
