id,Plants,Diseases,Content,overview,code
Alstonia Scholaris___Galls,Alstonia Scholaris,Galls,"## Overview
 Plant galls are abnormal outgrowths of plant tissues, similar to benign tumors or warts in animals. They can be caused by various parasites, from viruses, fungi and bacteria, to other plants, insects and mites.
## Symptoms 
 The symptoms of gall disease on Alstonia Scholaris can vary depending on the pathogen involved. However, some common symptoms include:
* Abnormal growths or swellings on the leaves, stems, and/or roots of the plant
* Discoloration of the affected areas, which may turn yellow, brown, or black.
* Twisted or distorted growth of stems or leaves
* Reduced growth or stunted growth of the plant
* Premature leaves drop or defoliation.
* Die back of twigs or branches
* Formation of hard, woody galls on the plant, which may contain the pathogen responsible for the disease. 
## Cause 
 Various parasites, insects & mites
## Tips 
 * Select resistant cultivars when possible and purchase plants from a reputable nursery.
 * Do not buy plants that shows signs of swelling or galling.
 * When caring for susceptible plants, avoid injury or pruning wounds that may come in contact with the soil.
 * Use Tree Wrap to protect against string trimmer damage and keep your garden tools clean.
 * Provide winter protection with natural burlap so bark does not crack.
 * In many cases, existing galls can be removed with a sharp pruning knife. Destroy the infected plant tissue and treat the wound with pruning sealer. If the plant does not recover, remove and destroy it.


",Plant galls are abnormal outgrowths of plant tissues. ,rady
Apple___Apple_scab,Apple,Apple scab,"## Overview 
 * Fungus overwinters on dead foliage on the ground.
* Spores dispersed by wind.
* High moisture encourages fungal growth. 
## Symptoms 
 * Yellow or chlorotic spots on leaves.
* Dark olive green spots on leaves and fruit.
* Maybe a velvety growth on spots on the undersides of leaves.
* Twisting of leaves.
* Distorted leaves.
* Severely infected leaves turn yellow and drop from trees. 
## Cause 
 Fungus Venturia inaequalis 
## Tips 
 * Remove all fallen leaves from trees in the fall and compost to prevent any disease infestations in the debris.
* It may be necessary to add Zinc and fertilizer-grade urea in the fall to speed leaf drop, then add lime to fallen leaves.
* Using fungicide may be necessary for areas where leaves remain wet for periods of more than 9 hours.
* Fungicides such as copper soaps and Bordeaux mixture should be applied if there is a chance of a wet period as soon as leaf tips emerge. 
","* Fungus overwinters on dead foliage on the ground.
* Spores dispersed by wind.
* High moisture encourages fungal growth.",rady
Apple___Black_rot,Apple,Black rot,"## Overview 
 Spores can overwinter in twigs or fruit remaining on the tree and spread during rainfall. 
## Symptoms 
 * Purple flecks or circular lesions which are brown in the center and purple at the margin.
* Red flecks, purple lesions and/or brown-black rings on fruit. 
## Cause 
 Fungus Botryosphaeria obtusa
## Tips 
 * Remove dead wood, mummified fruit, and cankers from trees to reduce the spread of disease.
* Burn any pruning that has been made from the tree.
* Controlling the disease by applying fungicides on silver tips to harvest.  
",Spores can overwinter in twigs or fruit remaining on the tree and spread during rainfall.,rady
Apple___Cedar_apple_rust,Apple,Cedar apple rust,"## Overview 
 * Fungus needs two hosts to complete its lifecycle.
* It forms a gall on Eastern red cedar.
* The spores of the fungus are carried by the wind from the red cedar to the apple.
* It is important to exercise caution when planting apple trees close to Eastern red cedar. 
## Symptoms 
 * Bright orange or yellow patches on the top side of leaves surrounded by a red band and small black spots in the center.
* By mid-summer, cup-like structures called aecia form on the leaf undersides; these become covered in tubular structures from which spores are released. 
## Cause 
 Fungus Gymnosporangium juniperi virginianae 
## Tips 
 * Plant disease-resistant varieties where possible.
* Remove nearby red cedar.
* If growing susceptible varieties in proximity to red cedar, follow a fungicide program. 
",It forms a gall on Eastern red cedar.,rady
Arjun___Leaf Curl,Arjun,Leaf Curl,"## Overview 
 Leaf curl disease of Arjun plant is a viral disease that affects the leaves of the Arjun tree (Terminalia arjuna). The disease is transmitted by whiteflies (Bemisia tabaci) in a persistent manner.
## Symptoms 
 *	Curling and crinkling of leaves, which may also become thickened and have a leathery texture.
 *	The leaves may also show discoloration, with yellow or white patches appearing on the upper surface of the leaves.
 *	In severe cases, the leaves may become distorted and stunted, and the growth of the plant may be affected.
## Cause 
 Begomovirus
## Tips 
 *	The use of insecticides to control whiteflies, which are the vectors of the virus. However, it is important to use these chemicals judiciously and in a manner that minimizes harm to the environment.
 *	Cultural practices such as removing infected leaves and destroying them can also help to reduce the spread of the disease.
 *	Planting resistant varieties of Arjun tree is also recommended as a long-term solution for preventing the disease.

",Leaf curl disease of Arjun plant is a viral disease that affects the leaves of the Arjun tree (Terminalia arjuna). ,rady
Bael___leaf spot,Bael,leaf spot,"## Overview 
 Leaf spot disease of bael plant is a fungal disease that affects the leaves of the bael tree (Aegle marmelos).
## Symptoms 
 * The appearance of small, circular or irregularly shaped spots on the leaves. These spots may be brown or black in color, with a yellow halo surrounding them.
 * As the disease progresses, the spots may merge and cause the leaves to turn yellow, wither, and eventually drop off.
## Cause 
 Fungi like Alternaria & Phyllosticta
## Tips 
 * The use of fungicides to control the spread of the fungus.
 * Maintaining good sanitation practices, such as cleaning garden tools and avoiding overcrowding of plants, can also help to prevent the disease from spreading.
 * Planting resistant cultivars of bael tree is also recommended as a long-term solution for preventing the disease.

",Leaf spot disease of bael plant is a fungal disease that affects the leaves of the bael tree (Aegle marmelos). ,rady
Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour),Powdery mildew,"## Overview 
 Infection of fruit is more likely if there are rainfalls close to harvest. 
## Symptoms 
 * Light-colored circular lesions on leaves inside the tree canopy which develop a powdery appearance. 
* Lesions may coalesce to cover the leaf. 
* If the infection is severe, leaves may blister and infected shoots may be distorted and stunted.
* Infected fruits may have slightly depressed areas on the surface containing fungal hyphae (filamentous fungal structures). 
## Cause 
 Fungus Podosphaera clandestina 
## Tips 
 Management of powdery mildew in cherry is reliant on the application of appropriate fungicides and cultural practices which promote good air circulation around tree canopies to lower humidity. 
",Infection of fruit is more likely if there are rainfalls close to harvest.,rady
Chinar ___Black_rot,Chinar,Black rot,"## Overview 
 Spores can overwinter in twigs or fruit remaining on the tree and spread during rainfall.
## Symptoms
  *  Black or dark brown spots on the leaves that may spread and join together, causing the leaves to wilt and die.
  *  The bark of the tree becomes cracked and dark, with sunken cankers that exude a sticky liquid.
  *  The branches of the tree may become distorted and die back.
  *  The tree may show signs of stunted growth, reduced vigor, and overall decline.
## Cause 
 Fungus Botryosphaeria obtusa
## Tips 
 * Remove dead wood, mummified fruit, and cankers from trees to reduce the spread of disease.
 * Burn any pruning that has been made from the tree.
 * Controlling the disease by applying fungicides on silver tips to harvest.
",Spores can overwinter in twigs or fruit remaining on the tree and spread during rainfall.,rady
coffee___Rust,Coffee,Rust,"## Overview 
 Coffee Rust disease does not affect rice plants, but coffee plants. However, to answer your question, coffee rust disease starts when spores of the fungal pathogen Hemileia vastatrix come into contact with a coffee plant. The spores can be spread by wind or rain, or they can be present in infected plant debris or soil. Once the spores land on a coffee plant, they germinate and penetrate the leaf tissue, where they form yellow-orange powdery spots on the upper surface of the leaves.
## Symptoms 
 * Yellow-orange powdery spots on the upper surface of the leaves.
* Premature dropping of leaves.
* Defoliation, which can lead to reduced growth and yield.
* Thin, spindly branches due to reduced photosynthesis.
* Reduced quality of the coffee beans due to reduced growth and yield. 
## Cause 
 Fungal pathogen( Hemileia vastatrix ) 
## Tips 
 Coffee rust can be partially controlled by the timely application of fungicide sprays during wet seasons. Plantations in some areas have been moved to higher and cooler altitudes, 1,800 to 2,100 metres (6,000 to 7,000 feet), at which the rust fungus has difficulty reproducing, though global warming is expected to further the spread of the disease into these areas. There is evidence that shade-grown coffees, which are not grown as monocultures, are somewhat less susceptible, as the agroforestry practice of mixing tree crops greatly slows the spread of the disease. Additionally, resistant varieties of Robusta coffee (Coffea canefora) have been developed, but the beans are generally considered to be of lower quality than those of the vulnerable Arabica plants (C. arabica). One resistant variety, Lempira, was widely planted in Honduras but lost its resistance to the disease in 2017, resulting in crop losses in that country. No resistant varieties have been shown to be impervious to all races of the fungus.
",The disease starts when spores of the fungal pathogen Hemileia vastatrix come into contact with a coffee plant.,rady
coffee___red_spider_mite,Coffee,Red spider mite,"## Overview 
 The infestation of red spider mites starts when the tiny arthropods called Tetranychus urticae come into contact with a coffee plant. These mites feed on the underside of the coffee plant leaves, causing damage to the plant tissue. The feeding activity of the mites can lead to the development of stippling or small, white or yellow spots on the leaves. The mites can also cause webbing on the leaves and stems of the coffee plant. 
## Symptoms 
 * Fine webbing on the leaves and stems.
* Yellowing or bronzing of the leaves.
* Stippling or small, white or yellow spots on the leaves.
* Leaf drop and defoliation, which can lead to reduced growth and yield.
* Presence of tiny, red or brown mites on the leaves and stems.
## Cause 
 Insect( Red spider mite ) 
## Tips 
 * Use miticides: Apply appropriate miticides to the affected coffee plants to control the mite population, but follow recommended application rates and safety guidelines to avoid environmental harm. Apply the miticide at the right time to target the mites when they are most vulnerable.
* Use natural predators: Introduce natural predators of coffee red spider mites, such as ladybugs or predatory mites, to the coffee fields to help control the mite population.
* Improve soil and water management: Maintain good soil fertility and drainage, and avoid overwatering or underwatering the coffee plants. This can help to reduce the risk of mite infestation and promote healthy plant growth.
* Use intercropping techniques: Interplant coffee with legumes or other crops to create a diverse ecosystem that can help control mite populations and reduce the risk of infestation.
* Monitor the coffee fields regularly: Regularly inspect the coffee fields for signs of mite infestation, such as stippling or webbing on the leaves, and take appropriate measures to control the infestation as soon as it is detected.
* Practice good agricultural practices: Use good agricultural practices such as proper pruning, weeding, and sanitation to help prevent the buildup of mite populations and reduce the risk of infestation.
 
","The infestation of red spider mites starts when the tiny arthropods called Tetranychus urticae come into contact with a coffee plant.",rady
